,Month,TikTok_sum
0,2016-01,0.0
1,2016-02,1.25
2,2016-03,2.5
3,2016-04,2.5
4,2016-05,-2.25
5,2016-06,-2.75
6,2016-07,6.75
7,2016-08,0.25
8,2016-09,-4.5
9,2016-10,1.0
10,2016-11,-1.75
11,2016-12,0.75
12,2017-01,4.0
13,2017-02,0.0
14,2017-03,0.25
15,2017-04,-1.0
16,2017-05,6.5
17,2017-06,-2.75
18,2017-07,10.25
19,2017-08,-5.0
20,2017-09,-6.75
21,2017-10,-0.25
22,2017-11,3.25
23,2017-12,3.25
24,2018-01,6.75
25,2018-02,-5.5
26,2018-03,-3.0
27,2018-04,1.25
28,2018-05,4.5
29,2018-06,6.5
30,2018-07,-9.25
31,2018-08,-1.25
32,2018-09,0.75
33,2018-10,-0.75
34,2018-11,-0.5
35,2018-12,2.75
36,2019-01,-2.0
37,2019-02,0.25
38,2019-03,-4.25
39,2019-04,2.0
40,2019-05,6.25
41,2019-06,-2.25
42,2019-07,15.0
43,2019-08,-5.75
44,2019-09,-5.25
45,2019-10,-1.0
46,2019-11,-0.25
47,2019-12,-4.0
48,2020-01,2.75
49,2020-02,-4.0
50,2020-03,3.0
51,2020-04,11.25
52,2020-05,-9.5
53,2020-06,1.5
54,2020-07,1.25
55,2020-08,-4.25
56,2020-09,4.25
57,2020-10,-0.5
58,2020-11,4.25
59,2020-12,-11.75
60,2021-01,10.5
61,2021-02,-6.5
62,2021-03,-0.5
63,2021-04,0.5
64,2021-05,-3.75
65,2021-06,3.0
66,2021-07,1.0
67,2021-08,2.25
68,2021-09,-3.5
69,2021-10,-2.25
70,2021-11,-0.25
71,2021-12,4.25
